Query,Subject,Identity,E-value
Query_27113,gb|MAF24195.1| hypothetical protein [bacterium],126,1.56841e-33
Query_27113,gb|MCK9596392.1| hypothetical protein [Candidatus Pacearchaeota archaeon],111,3.71279e-29
Query_27113,gb|QDP51382.1| MAG: hypothetical protein GOVbin630_80 [Prokaryotic dsDNA virus sp.],116,1.01889e-27
Query_27113,gb|MAK55795.1| hypothetical protein [Pusillimonas sp.],112,4.59029e-26
Query_27113,gb|MBC8227915.1| hypothetical protein [Gammaproteobacteria bacterium],115,2.11472e-23
Query_27113,gb|UCG92053.1| MAG: hypothetical protein JSV97_13525 [candidate division WOR-3 bacterium],123,1.32834e-22
Query_27113,tpg|HHZ96055.1| hypothetical protein [Flavobacteriales bacterium] >tpg|HIO49632.1| hypothetical protein [Candidatus Poribacteria bacterium],94,3.03137e-22
Query_27113,gb|MAF24279.1| hypothetical protein [bacterium],95,6.82339e-22
Query_27113,tpg|HAI41155.1| hypothetical protein [Maribacter sp.],88,8.99016e-22
Query_27113,gb|MAC34327.1| hypothetical protein [Haliea sp.],107,1.01803e-21
Query_27113,gb|MBV04273.1| hypothetical protein [Paracoccaceae bacterium],115,1.45701e-21
Query_27113,tpg|HCT50857.1| hypothetical protein [Balneola sp.],109,1.64599e-21
Query_27113,gb|MAG27531.1| hypothetical protein [Candidatus Pacearchaeota archaeon],115,3.01727e-20
Query_27113,gb|MCK5344063.1| hypothetical protein [Candidatus Heimdallarchaeota archaeon],115,3.42024e-20
Query_27113,gb|MBP02830.1| hypothetical protein [Rhodospirillaceae bacterium],123,4.2086e-19
Query_27113,gb|OUW10968.1| MAG: hypothetical protein CBD26_03510 [Candidatus Pelagibacter sp. TMED166],100,1.03695e-18
Query_27113,gb|MAG25874.1| hypothetical protein [Candidatus Pacearchaeota archaeon],108,4.85108e-18
Query_27113,tpg|HIO04398.1| hypothetical protein [Gammaproteobacteria bacterium],105,1.26961e-17
Query_27113,gb|ANS05163.1| hypothetical protein [uncultured Mediterranean phage],94,1.50117e-17
Query_27113,tpg|HBQ60785.1| hypothetical protein [Balneolaceae bacterium],89,2.14773e-17
Query_27113,tpg|HHZ95720.1| hypothetical protein [Flavobacteriales bacterium],102,3.10958e-17
Query_27113,tpg|HIB00592.1| hypothetical protein [Phycisphaerales bacterium],113,1.35203e-16
Query_27113,gb|MBC8225557.1| hypothetical protein [Gammaproteobacteria bacterium],87,2.51058e-16
Query_27113,gb|MDB4335863.1| hypothetical protein [bacterium],108,2.49668e-15
Query_27113,gb|MBV02871.1| hypothetical protein [Paracoccaceae bacterium],101,3.75805e-15
Query_27113,gb|MBL18282.1| hypothetical protein [Flavobacteriaceae bacterium],83,1.48408e-14
Query_27113,gb|MAH47500.1| hypothetical protein [Candidatus Pacearchaeota archaeon],45,1.48579e-14
Query_27113,gb|MDA9613571.1| hypothetical protein [bacterium],61,1.9238e-14
Query_27113,ref|WP_293316389.1| hypothetical protein [Phenylobacterium sp.],98,2.90974e-14
Query_27113,tpg|HAB36537.1| hypothetical protein [Paracoccaceae bacterium],101,5.94805e-14
Query_27113,gb|ANS05771.1| hypothetical protein [uncultured Mediterranean phage],104,8.1483e-14
Query_27113,tpg|HAI37798.1| hypothetical protein [Maribacter sp.],79,1.06931e-13
Query_27113,tpg|HAI36637.1| hypothetical protein [Maribacter sp.],112,1.59596e-13
Query_27113,tpg|HAI38112.1| hypothetical protein [Maribacter sp.],82,2.66297e-13
Query_27113,tpg|HAI38074.1| hypothetical protein [Maribacter sp.],98,3.17356e-13
Query_27113,gb|MAF24778.1| hypothetical protein [bacterium],82,6.18526e-13
Query_27113,gb|MAN64855.1| hypothetical protein [Parvibaculum sp.],100,7.14905e-13
Query_27113,gb|MAH50639.1| hypothetical protein [Candidatus Pacearchaeota archaeon],121,8.25777e-13
Query_27113,tpg|HIL26439.1| hypothetical protein [Nitrospinaceae bacterium],101,1.15917e-12
Query_27113,tpg|HAI42614.1| hypothetical protein [Maribacter sp.],59,1.33761e-12
Query_27113,gb|MBT6439448.1| hypothetical protein [Flavobacteriales bacterium],40,2.2664e-12
Query_27113,gb|MAF24244.1| hypothetical protein [bacterium],101,4.18484e-12
Query_27113,gb|MAH44372.1| hypothetical protein [Candidatus Pacearchaeota archaeon],112,1.15361e-11
Query_27113,tpg|HAI44984.1| hypothetical protein [Maribacter sp.],110,1.55079e-11
Query_27113,gb|MBT5638534.1| hypothetical protein [Candidatus Peribacter sp.],100,1.11971e-10
Query_27113,ref|WP_290942431.1| hypothetical protein [Hyphomonas sp.] >gb|MAL45810.1| hypothetical protein [Hyphomonas sp.],83,1.4119e-10
Query_27113,gb|MBT6059495.1| hypothetical protein [Gammaproteobacteria bacterium],52,1.73881e-09
Query_27113,gb|MAG27516.1| hypothetical protein [Candidatus Pacearchaeota archaeon],111,2.30048e-09
Query_27113,gb|QDP63322.1| MAG: hypothetical protein GOVbin703_69 [Prokaryotic dsDNA virus sp.],38,7.6599e-09
Query_27113,gb|MBL96830.1| hypothetical protein [Legionellales bacterium],35,1.50529e-08
