-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,Encapsulin MGYP,Pfam -10,Pfam -9,Pfam -8,Pfam -7,Pfam -6,Pfam -5,Pfam -4,Pfam -3,Pfam -2,Pfam -1,Pfam 1,Pfam 2,Pfam 3,Pfam 4,Pfam 5,Pfam 6,Pfam 7,Pfam 8,Pfam 9,Pfam 10
,,,,MGYP003181590055,MGYP003181590098,MGYP003181590127,MGYP000392823663,MGYP000171667185,MGYP000165772378,MGYP000177563455,MGYP000705400687,MGYP000353896556,MGYP000050146259,MGYP000611038907,MGYP003181590729,MGYP003185499948,MGYP003181590758,MGYP000451799168,MGYP003181590835,MGYP000000639651,[],[],[],[],[],"['CL0023', 'PF08275', 'CL0413', 'PF01807', 'PF08706', 'PF19263']",[],[],[],['PF00574'],[],[],[],[],[],"['CL0219', 'CL0219', 'CL0023', 'CL0219']",[],['PF00156'],"['PF20582', 'PF04002']",[]
,,,,MGYP003181590055,MGYP003181590098,MGYP003181590127,MGYP000392823663,MGYP000171667185,MGYP000165772378,MGYP000177563455,MGYP000705400687,MGYP000353896556,MGYP000050146259,MGYP000611038907,MGYP003181590729,MGYP003185499948,MGYP003181590758,MGYP000451799168,MGYP003181590835,MGYP000000639651,[],[],[],[],[],"['CL0023', 'PF08275', 'CL0413', 'PF01807', 'PF08706', 'PF19263']",[],[],[],['PF00574'],[],[],[],[],[],"['CL0219', 'CL0219', 'CL0023', 'CL0219']",[],['PF00156'],"['PF20582', 'PF04002']",[]
,,,,MGYP003181590055,MGYP003181590098,MGYP003181590127,MGYP000392823663,MGYP000171667185,MGYP000165772378,MGYP000177563455,MGYP000705400687,MGYP000353896556,MGYP000050146259,MGYP000611038907,MGYP003181590729,MGYP003185499948,MGYP003181590758,MGYP000451799168,MGYP003181590835,MGYP000000639651,[],[],[],[],[],"['CL0023', 'PF08275', 'CL0413', 'PF01807', 'PF08706', 'PF19263']",[],[],[],['PF00574'],[],[],[],[],[],"['CL0219', 'CL0219', 'CL0023', 'CL0219']",[],['PF00156'],"['PF20582', 'PF04002']",[]
MGYP003181590835,MGYP000451799168,MGYP003181590758,MGYP003215934654,MGYP003181590729,MGYP000611038907,MGYP000050146259,MGYP000353896556,MGYP000705400687,MGYP000177563455,MGYP000165772378,MGYP000171667185,MGYP000392823663,MGYP003181590127,MGYP003181590098,MGYP003212748943,,,,,MGYP000000639651,[],"['PF20582', 'PF04002']",['PF00156'],['PF01632'],"['CL0219', 'CL0219', 'CL0023', 'CL0219']",[],[],[],[],[],['PF00574'],[],[],[],"['CL0023', 'PF08275', 'CL0413', 'PF01807', 'PF08706', 'PF19263']",[],[],[],[],[]
MGYP000368987579,MGYP000702359586,MGYP002431000206,MGYP000241842941,MGYP000474794676,MGYP000436459235,MGYP000536743081,MGYP000439406311,MGYP000112096761,MGYP000740182570,,,,,,,,,,,MGYP000001918706,['CL0536'],"['PF01131', 'PF01751']","['PF00120', 'PF12437', 'PF18318']",['PF13289'],['PF00041'],"['PF18887', 'PF02368', 'CL0159']",['PF01661'],[],"['PF01145', 'PF09851']",['CL0097'],[],[],[],[],[],[],[],[],[],[]
MGYP000368987579,MGYP000702359586,MGYP002431000206,MGYP000241842941,MGYP000474794676,MGYP000436459235,MGYP000536743081,MGYP000439406311,MGYP000112096761,MGYP000740182570,,,,,,,,,,,MGYP000001918706,['CL0536'],"['PF01131', 'PF01751']","['PF00120', 'PF12437', 'PF18318']",['PF13289'],['PF00041'],"['PF18887', 'PF02368', 'CL0159']",['PF01661'],[],"['PF01145', 'PF09851']",['CL0097'],[],[],[],[],[],[],[],[],[],[]
MGYP003134148327,MGYP003115533678,MGYP003134148416,MGYP003134148471,MGYP000023505174,MGYP000651600591,MGYP000377358999,MGYP000300699829,MGYP000129662260,MGYP000675190142,MGYP000321338889,MGYP003134148950,MGYP000327235042,MGYP000536593340,MGYP003134149091,MGYP003134149103,MGYP003134149128,MGYP003134149154,MGYP003116340712,MGYP003124527998,MGYP000002868012,[],['PF01464'],['PF11072'],['PF10412'],['PF14348'],['PF11660'],"['CL0690', 'PF11190']",['PF11990'],['PF11444'],['PF11920'],[],"['PF03135', 'PF03135', 'PF03135', 'PF11130', 'PF19044']",['PF07511'],['PF06834'],"['PF06122', 'PF06122', 'PF06122']",[],['PF07916'],[],[],['PF02599']
MGYP000430432658,MGYP003115209263,MGYP003145838696,MGYP003115209300,MGYP000023505174,MGYP000651600591,MGYP000377358999,MGYP000300699829,MGYP000129662260,MGYP000675190142,MGYP000321338889,MGYP003145839007,MGYP000327235042,MGYP000536593340,MGYP003115945513,MGYP000456973904,MGYP000088380893,MGYP003115945416,MGYP003115945408,MGYP001949333989,MGYP000002868012,[],['PF01464'],['PF11072'],['PF10412'],['PF14348'],['PF11660'],"['CL0690', 'PF11190']",['PF11990'],['PF11444'],['PF11920'],[],"['PF19044', 'PF11130', 'PF03135', 'PF03135']",['PF07511'],['PF06834'],"['PF06122', 'PF06122', 'PF06122', 'PF06122']",[],['PF07916'],[],[],['PF02599']
MGYP000430432658,MGYP003115209263,MGYP000563136337,MGYP003115209300,MGYP000023505174,MGYP000651600591,MGYP000377358999,MGYP003629740487,MGYP000129662260,MGYP000675190142,MGYP000321338889,MGYP003145839007,MGYP000327235042,MGYP000536593340,MGYP003115945513,MGYP000456973904,MGYP000088380893,MGYP003115945416,MGYP003115945408,MGYP001949333989,MGYP000002868012,[],['PF01464'],['PF11072'],['PF10412'],['PF14348'],['PF11660'],"['CL0690', 'PF11190']",['PF11990'],['PF11444'],['PF11920'],[],"['PF19044', 'PF11130', 'PF03135', 'PF03135']",['PF07511'],['PF06834'],"['PF06122', 'PF06122', 'PF06122', 'PF06122']",[],['PF07916'],[],[],['PF02599']
MGYP003134148327,MGYP003115533678,MGYP003134148416,MGYP003134148471,MGYP000023505174,MGYP000651600591,MGYP000377358999,MGYP000300699829,MGYP000129662260,MGYP000675190142,MGYP000321338889,MGYP003134148950,MGYP000327235042,MGYP000536593340,MGYP003134149091,MGYP003134149103,MGYP003134149128,MGYP003134149154,MGYP003116340712,MGYP003124527998,MGYP000002868012,[],['PF01464'],['PF11072'],['PF10412'],['PF14348'],['PF11660'],"['CL0690', 'PF11190']",['PF11990'],['PF11444'],['PF11920'],[],"['PF03135', 'PF03135', 'PF03135', 'PF11130', 'PF19044']",['PF07511'],['PF06834'],"['PF06122', 'PF06122', 'PF06122']",[],['PF07916'],[],[],['PF02599']
