Genome Neighbourhood Location,MGYP accessions,Pfam
-10,,[]
-9,,[]
-8,MGYP003113059623,[]
-7,MGYP001345471584,[]
-6,MGYP001243896892,['PF05118']
-5,MGYP003113059799,[]
-4,MGYP003113059818,['PF00166']
-3,MGYP003113059868,[]
-2,MGYP003113059879,[]
-1,MGYP003113059913,[]
0 (Encapsulin_MGYP),MGYP003113059926,[MISANNOTATED_Pfam_PHAGE]
2,MGYP003113059967,[]
3,MGYP003113059982,[]
4,MGYP003113059991,[]
5,MGYP003113060062,['PF04865']
6,MGYP003113060324,[]
7,MGYP003113060575,[]
8,MGYP003113060629,[]
9,MGYP003113060631,[]
10,MGYP003113060634,[]
